,dots_exten,geometry,lon,lat,Alpha-2 code,Country,Alpha-3 code,Numeric
26352,27.1763,POINT (-35.15708333333163 -5.919583333456785),-35.15708333333163,-5.919583333456785,BR,Brazil,BRA,76.0
26353,0.316033,POINT (-80.8562499999963 -5.80208333345405),-80.8562499999963,-5.80208333345405,PE,Peru,PER,604.0
26354,39.2785,POINT (-35.21708333333146 -5.786250000120276),-35.21708333333146,-5.786250000120276,BR,Brazil,BRA,76.0
26355,23.1157,POINT (-35.20249999999811 -5.727083336943224),-35.20249999999811,-5.727083336943224,BR,Brazil,BRA,76.0
26356,13.3384,POINT (-35.217916666664735 -5.676250000117761),-35.217916666664735,-5.676250000117761,BR,Brazil,BRA,76.0
26357,0.548888,POINT (-35.226666668007965 -5.600833332796753),-35.226666668007965,-5.600833332796753,BR,Brazil,BRA,76.0
26358,22.4849,POINT (-80.875416666663 -5.562916666781632),-80.875416666663,-5.562916666781632,PE,Peru,PER,604.0
26359,9.91094,POINT (-35.25291666666487 -5.521250000114037),-35.25291666666487,-5.521250000114037,BR,Brazil,BRA,76.0
26360,4.83126,POINT (-35.35541666666495 -5.356250000110151),-35.35541666666495,-5.356250000110151,BR,Brazil,BRA,76.0
26361,0.186801,POINT (-35.38666666666484 -5.262083336934722),-35.38666666666484,-5.262083336934722,BR,Brazil,BRA,76.0
26362,10.77,POINT (-35.462499999998215 -5.192916670266584),-35.462499999998215,-5.192916670266584,BR,Brazil,BRA,76.0
26363,0.898047,POINT (-36.24208333333149 -5.114583333437849),-36.24208333333149,-5.114583333437849,BR,Brazil,BRA,76.0
26364,3.25137,POINT (-36.64708333333135 -5.11041666677113),-36.64708333333135,-5.11041666677113,BR,Brazil,BRA,76.0
26365,0.968353,POINT (-36.30458333333132 -5.109166667074419),-36.30458333333132,-5.109166667074419,BR,Brazil,BRA,76.0
26366,33.0942,POINT (-36.66958333333139 -5.10750000040764),-36.66958333333139,-5.10750000040764,BR,Brazil,BRA,76.0
26367,3.13664,POINT (-35.70291666666469 -5.104583333437631),-35.70291666666469,-5.104583333437631,BR,Brazil,BRA,76.0
26368,0.521785,POINT (-36.12624999999821 -5.0920833334373015),-36.12624999999821,-5.0920833334373015,BR,Brazil,BRA,76.0
26369,0.787961,POINT (-36.3595833333315 -5.091250000103855),-36.3595833333315,-5.091250000103855,BR,Brazil,BRA,76.0
